"Step","Actions","Successes","Observations","Coverage","TransportRate","Finished","TimeoutAgents","NoOpSource","RunID","MaxSteps","RemainingSteps","WallTimeSinceStart","StepDurationMs","ErrorTypes","CompletedSubtasksDelta","EndReason"
"33","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","17","84.13850092887878","98.54565653949976","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"34","['MoveAhead', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[True, False]","['Action MoveAhead succeeded.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","16","86.14218068122864","108.03459212183952","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"35","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'RotateLeft']","[False, True]","['Action PickupObject(Apple_1) failed.', 'Action RotateLeft succeeded.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","15","88.1484911441803","110.43589655309916","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"36","['PickupObject(Bread|-00.52|+01.17|-00.03)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Bread_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","14","88.1484911441803","352.75436472147703","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"37","['LookDown(30)', 'MoveAhead']","[True, False]","['Action LookDown(30) succeeded.', 'Action MoveAhead failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","13","90.1531572341919","133.87020584195852","['Fridge_e92350c6 is blocking Agent 1 from moving by (0.0000, 0.0000, -0.2500).']","[]","max_steps_reached"
"38","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'MoveBack']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action MoveBack failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","12","92.15621376037598","110.98889354616404","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'Fridge_e92350c6 is blocking Agent 1 from moving by (0.0000, 0.0000, 0.2500).']","[]","max_steps_reached"
"39","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","11","96.16220283508301","123.85320756584406","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"40","['PickupObject(Egg|-02.04|+00.81|+01.24)', 'RotateRight']","[False, True]","['Action PickupObject(Egg_1) failed.', 'Action RotateRight succeeded.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","10","100.16882038116455","161.7681384086609","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"41","['MoveAhead', 'MoveLeft']","[True, False]","['Action MoveAhead succeeded.', 'Action MoveLeft failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","9","102.1726701259613","133.11751000583172","['Fridge_e92350c6 is blocking Agent 1 from moving by (0.0000, 0.0000, -0.2500).']","[]","max_steps_reached"
"42","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","8","104.17627215385437","107.93984215706587","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"43","['MoveAhead', 'MoveRight']","[True, False]","['Action MoveAhead succeeded.', 'Action MoveRight failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","7","110.18454837799072","186.00914254784584","['Fridge_e92350c6 is blocking Agent 1 from moving by (0.0000, 0.0000, 0.2500).']","[]","max_steps_reached"
"44","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'MoveAhead']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action MoveAhead failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","6","114.19054627418518","130.9033315628767","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'StandardCounterHeightWidth is blocking Agent 1 from moving by (-0.2500, 0.0000, 0.0000).']","[]","max_steps_reached"
"45","['LookDown(30)', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, True]","['Action LookDown(30) succeeded.', 'Action OpenObject(Fridge_1) succeeded.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","5","116.19416809082031","130.50456810742617","[]","[]","max_steps_reached"
"46","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","4","118.19756293296814","106.25006444752216","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"47","['MoveLeft', 'PickupObject(Bottle|+01.54|+00.89|-02.54)']","[True, False]","['Action MoveLeft succeeded.', 'Action PickupObject(Bottle_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","3","122.20366716384888","135.12577675282955","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"48","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'MoveAhead']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action MoveAhead failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","2","124.2071967124939","108.17419085651636","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'StandardCounterHeightWidth is blocking Agent 1 from moving by (-0.2500, 0.0000, 0.0000).']","[]","max_steps_reached"
"49","['PickupObject(Bread|-00.52|+01.17|-00.03)', 'PickupObject(WineBottle|-01.00|+01.65|-02.58)']","[False, False]","['Action PickupObject(Bread_1) failed.', 'Action PickupObject(WineBottle_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","1","130.21463775634766","159.32906139642","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"50","['Done', 'Done']","[True, True]","['Action Done succeeded.', 'Action Done succeeded.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","0","132.21862936019897","102.21587400883436","[]","[]","max_steps_reached"
